City_ID,City_EN,City_CN,Country_code,Country_EN,Country_CN,Province_EN,Province_CN,Admin_ district_EN,Admin_ district_CN,Latitude,Longitude,AD_code,
CN101010100,beijing,北京,CN,China,中国,beijing,北京,beijing,北京,39.904987,116.40529,"110100,110000,100000",
CN101010200,haidian,海淀,CN,China,中国,beijing,北京,beijing,北京,39.956074,116.31032,110108,
CN101010300,chaoyang,朝阳,CN,China,中国,beijing,北京,beijing,北京,39.92149,116.48641,110105,
CN101010400,shunyi,顺义,CN,China,中国,beijing,北京,beijing,北京,40.128937,116.65353,110113,
CN101010500,huairou,怀柔,CN,China,中国,beijing,北京,beijing,北京,40.324272,116.63712,110116,
CN101010600,tongzhou,通州,CN,China,中国,beijing,北京,beijing,北京,39.902485,116.6586,110112,
CN101010700,changping,昌平,CN,China,中国,beijing,北京,beijing,北京,40.218086,116.23591,110114,
CN101010800,yanqing,延庆,CN,China,中国,beijing,北京,beijing,北京,40.465324,115.98501,110119,
CN101010900,fengtai,丰台,CN,China,中国,beijing,北京,beijing,北京,39.863644,116.286964,110106,
CN101011000,shijingshan,石景山,CN,China,中国,beijing,北京,beijing,北京,39.9146,116.19544,110107,
CN101011100,daxing,大兴,CN,China,中国,beijing,北京,beijing,北京,39.72891,116.338036,110115,
CN101011200,fangshan,房山,CN,China,中国,beijing,北京,beijing,北京,39.735535,116.13916,110111,
CN101011300,miyun,密云,CN,China,中国,beijing,北京,beijing,北京,40.37736,116.84335,110118,
CN101011400,mentougou,门头沟,CN,China,中国,beijing,北京,beijing,北京,39.937183,116.10538,110109,
CN101011500,pinggu,平谷,CN,China,中国,beijing,北京,beijing,北京,40.144783,117.112335,110117,
CN101011600,dongcheng,东城,CN,China,中国,beijing,北京,beijing,北京,39.917545,116.418755,110101,
CN101011700,xicheng,西城,CN,China,中国,beijing,北京,beijing,北京,39.91531,116.36679,110102,
CN101020100,shanghai,上海,CN,China,中国,shanghai,上海,shanghai,上海,31.231707,121.47264,"310100,310000",
CN101020200,minhang,闵行,CN,China,中国,shanghai,上海,shanghai,上海,31.111658,121.37597,310112,
CN101020300,baoshan,宝山,CN,China,中国,shanghai,上海,shanghai,上海,31.398895,121.48994,310113,
CN101020400,huangpu,黄浦,CN,China,中国,shanghai,上海,shanghai,上海,31.22277,121.49032,310101,
CN101020500,jiading,嘉定,CN,China,中国,shanghai,上海,shanghai,上海,31.383524,121.250336,310114,
CN101020600,pudongxinqu,浦东新区,CN,China,中国,shanghai,上海,shanghai,上海,31.245943,121.5677,310115,
CN101020700,jinshan,金山,CN,China,中国,shanghai,上海,shanghai,上海,30.724697,121.330734,310116,
CN101020800,qingpu,青浦,CN,China,中国,shanghai,上海,shanghai,上海,31.151209,121.11302,310118,
CN101020900,songjiang,松江,CN,China,中国,shanghai,上海,shanghai,上海,31.03047,121.22354,310117,
CN101021000,fengxian,奉贤,CN,China,中国,shanghai,上海,shanghai,上海,30.912346,121.45847,310120,
CN101021100,chongming,崇明,CN,China,中国,shanghai,上海,shanghai,上海,31.626945,121.397514,310151,
CN101021200,xuhui,徐汇,CN,China,中国,shanghai,上海,shanghai,上海,31.179974,121.43752,310104,
CN101021300,changning,长宁,CN,China,中国,shanghai,上海,shanghai,上海,31.218122,121.4222,310105,
CN101021400,jingan,静安,CN,China,中国,shanghai,上海,shanghai,上海,31.229004,121.44823,310106,
CN101021500,putuo,普陀,CN,China,中国,shanghai,上海,shanghai,上海,31.241701,121.3925,310107,
CN101021600,hongkou,虹口,CN,China,中国,shanghai,上海,shanghai,上海,31.26097,121.49183,310109,
CN101021700,yangpu,杨浦,CN,China,中国,shanghai,上海,shanghai,上海,31.270756,121.5228,310110,
CN101030100,tianjin,天津,CN,China,中国,tianjin,天津,tianjin,天津,39.125595,117.190186,"120100,120000",
CN101030200,wuqing,武清,CN,China,中国,tianjin,天津,tianjin,天津,39.376926,117.05796,120114,
CN101030300,baodi,宝坻,CN,China,中国,tianjin,天津,tianjin,天津,39.716965,117.30809,120115,
CN101030400,dongli,东丽,CN,China,中国,tianjin,天津,tianjin,天津,39.087765,117.313965,120110,
CN101030500,xiqing,西青,CN,China,中国,tianjin,天津,tianjin,天津,39.139446,117.012245,120111,
CN101030600,beichen,北辰,CN,China,中国,tianjin,天津,tianjin,天津,39.225555,117.13482,120113,
CN101030700,ninghe,宁河,CN,China,中国,tianjin,天津,tianjin,天津,39.328884,117.82828,120117,
CN101030800,heping,和平,CN,China,中国,tianjin,天津,tianjin,天津,39.11833,117.19591,120101,
CN101030900,jinghai,静海,CN,China,中国,tianjin,天津,tianjin,天津,38.935673,116.9253,120118,
CN101031000,jinnan,津南,CN,China,中国,tianjin,天津,tianjin,天津,38.98958,117.382545,120112,
CN101031100,binhaixinqu,滨海新区,CN,China,中国,tianjin,天津,tianjin,天津,39.032845,117.654175,120116,
CN101031200,hedong,河东,CN,China,中国,tianjin,天津,tianjin,天津,39.122124,117.22657,120102,
CN101031300,hexi,河西,CN,China,中国,tianjin,天津,tianjin,天津,39.1019,117.21754,120103,
CN101031400,jizhou,蓟州,CN,China,中国,tianjin,天津,tianjin,天津,40.04534,117.40745,120119,
CN101031500,nankai,南开,CN,China,中国,tianjin,天津,tianjin,天津,39.120476,117.16415,120104,
CN101031600,hebei,河北,CN,China,中国,tianjin,天津,tianjin,天津,39.15663,117.20157,120105,
CN101031700,hongqiao,红桥,CN,China,中国,tianjin,天津,tianjin,天津,39.175068,117.1633,120106,
CN101040100,chongqing,重庆,CN,China,中国,chongqing,重庆,chongqing,重庆,29.56376,106.55046,"500100,500000,500200",
CN101040200,yongchuan,永川,CN,China,中国,chongqing,重庆,chongqing,重庆,29.348747,105.894714,500118,
CN101040300,hechuan,合川,CN,China,中国,chongqing,重庆,chongqing,重庆,29.990993,106.26556,500117,
CN101040400,nanchuan,南川,CN,China,中国,chongqing,重庆,chongqing,重庆,29.156647,107.09815,500119,
CN101040500,jiangjin,江津,CN,China,中国,chongqing,重庆,chongqing,重庆,29.283386,106.25316,500116,
CN101040700,yubei,渝北,CN,China,中国,chongqing,重庆,chongqing,重庆,29.601452,106.51285,500112,
CN101040800,beibei,北碚,CN,China,中国,chongqing,重庆,chongqing,重庆,29.82543,106.43787,500109,
CN101040900,banan,巴南,CN,China,中国,chongqing,重庆,chongqing,重庆,29.38192,106.519424,500113,
CN101041000,changshou,长寿,CN,China,中国,chongqing,重庆,chongqing,重庆,29.833672,107.07485,500115,
CN101041100,qianjiang,黔江,CN,China,中国,chongqing,重庆,chongqing,重庆,29.527548,108.78258,500114,
CN101041200,yuzhong,渝中,CN,China,中国,chongqing,重庆,chongqing,重庆,29.556742,106.56288,500103,
CN101041300,wanzhou,万州,CN,China,中国,chongqing,重庆,chongqing,重庆,30.807808,108.38025,500101,
CN101041400,fuling,涪陵,CN,China,中国,chongqing,重庆,chongqing,重庆,29.703651,107.394905,500102,
CN101041600,chengkou,城口,CN,China,中国,chongqing,重庆,chongqing,重庆,31.946293,108.6649,500229,
CN101041700,yunyang,云阳,CN,China,中国,chongqing,重庆,chongqing,重庆,30.930529,108.6977,500235,
CN101041800,wuxi,巫溪,CN,China,中国,chongqing,重庆,chongqing,重庆,31.3966,109.628914,500238,
CN101041900,fengjie,奉节,CN,China,中国,chongqing,重庆,chongqing,重庆,31.019966,109.465775,500236,
CN101042000,wushan,巫山,CN,China,中国,chongqing,重庆,chongqing,重庆,31.074842,109.87893,500237,
CN101042100,tongnan,潼南,CN,China,中国,chongqing,重庆,chongqing,重庆,30.189554,105.84182,500152,
CN101042200,dianjiang,垫江,CN,China,中国,chongqing,重庆,chongqing,重庆,30.330011,107.348694,500231,
CN101042300,liangping,梁平,CN,China,中国,chongqing,重庆,chongqing,重庆,30.672169,107.80003,500155,
CN101042400,zhongxian,忠县,CN,China,中国,chongqing,重庆,chongqing,重庆,30.291536,108.03752,500233,
CN101042500,shizhu,石柱,CN,China,中国,chongqing,重庆,chongqing,重庆,29.999285,108.11407,500240,
CN101042600,dazu,大足,CN,China,中国,chongqing,重庆,chongqing,重庆,29.700499,105.71532,500111,
CN101042700,rongchang,荣昌,CN,China,中国,chongqing,重庆,chongqing,重庆,29.403627,105.59406,500153,
CN101042800,tongliang,铜梁,CN,China,中国,chongqing,重庆,chongqing,重庆,29.839945,106.05495,500151,
CN101042900,bishan,璧山,CN,China,中国,chongqing,重庆,chongqing,重庆,29.59358,106.231125,500120,
CN101043000,fengdu,丰都,CN,China,中国,chongqing,重庆,chongqing,重庆,29.866425,107.73248,500230,
CN101043100,wulong,武隆,CN,China,中国,chongqing,重庆,chongqing,重庆,29.32376,107.75655,500156,
CN101043200,pengshui,彭水,CN,China,中国,chongqing,重庆,chongqing,重庆,29.293856,108.16655,500243,
CN101043300,qijiang,綦江,CN,China,中国,chongqing,重庆,chongqing,重庆,29.028091,106.65142,500110,
CN101043400,youyang,酉阳,CN,China,中国,chongqing,重庆,chongqing,重庆,28.839828,108.767204,500242,
CN101043500,dadukou,大渡口,CN,China,中国,chongqing,重庆,chongqing,重庆,29.481003,106.48613,500104,
CN101043600,xiushan,秀山,CN,China,中国,chongqing,重庆,chongqing,重庆,28.444773,108.99604,500241,
CN101043700,jiangbei,江北,CN,China,中国,chongqing,重庆,chongqing,重庆,29.575352,106.532845,500105,
CN101043800,shapingba,沙坪坝,CN,China,中国,chongqing,重庆,chongqing,重庆,29.541224,106.4542,500106,
CN101043900,jiulongpo,九龙坡,CN,China,中国,chongqing,重庆,chongqing,重庆,29.523493,106.48099,500107,
CN101044000,nanan,南岸,CN,China,中国,chongqing,重庆,chongqing,重庆,29.523993,106.560814,500108,
CN101044100,kaizhou,开州,CN,China,中国,chongqing,重庆,chongqing,重庆,31.167734,108.413315,500154,
CN101050101,haerbin,哈尔滨,CN,China,中国,heilongjiang,黑龙江,haerbin,哈尔滨,45.756966,126.64246,"230101,230100,230000",
CN101050102,shuangcheng,双城,CN,China,中国,heilongjiang,黑龙江,haerbin,哈尔滨,45.37794,126.308784,230113,
CN101050103,hulan,呼兰,CN,China,中国,heilongjiang,黑龙江,haerbin,哈尔滨,45.98423,126.6033,230111,
CN101050104,acheng,阿城,CN,China,中国,heilongjiang,黑龙江,haerbin,哈尔滨,45.538372,126.972725,230112,
CN101050105,binxian,宾县,CN,China,中国,heilongjiang,黑龙江,haerbin,哈尔滨,45.75937,127.48594,230125,
CN101050106,yilan,依兰,CN,China,中国,heilongjiang,黑龙江,haerbin,哈尔滨,46.315105,129.5656,230123,
CN101050107,bayan,巴彦,CN,China,中国,heilongjiang,黑龙江,haerbin,哈尔滨,46.08189,127.4036,230126,
CN101050108,tonghe,通河,CN,China,中国,heilongjiang,黑龙江,haerbin,哈尔滨,45.97762,128.74779,230128,
CN101050109,fangzheng,方正,CN,China,中国,heilongjiang,黑龙江,haerbin,哈尔滨,45.839535,128.83614,230124,
CN101050110,yanshou,延寿,CN,China,中国,heilongjiang,黑龙江,haerbin,哈尔滨,45.455647,128.33188,230129,
CN101050111,shangzhi,尚志,CN,China,中国,heilongjiang,黑龙江,haerbin,哈尔滨,45.214954,127.96854,230183,
CN101050112,wuchang,五常,CN,China,中国,heilongjiang,黑龙江,haerbin,哈尔滨,44.91942,127.15759,230184,
CN101050113,mulan,木兰,CN,China,中国,heilongjiang,黑龙江,haerbin,哈尔滨,45.949825,128.04268,230127,
CN101050114,daoli,道里,CN,China,中国,heilongjiang,黑龙江,haerbin,哈尔滨,45.762035,126.61253,230102,
CN101050115,nangang,南岗,CN,China,中国,heilongjiang,黑龙江,haerbin,哈尔滨,45.75597,126.6521,230103,
CN101050116,daowai,道外,CN,China,中国,heilongjiang,黑龙江,haerbin,哈尔滨,45.78454,126.648834,230104,
CN101050117,pingfang,平房,CN,China,中国,heilongjiang,黑龙江,haerbin,哈尔滨,45.605568,126.62926,230108,
CN101050118,songbei,松北,CN,China,中国,heilongjiang,黑龙江,haerbin,哈尔滨,45.814655,126.563065,230109,
CN101050119,xiangfang,香坊,CN,China,中国,heilongjiang,黑龙江,haerbin,哈尔滨,45.713066,126.667046,230110,
CN101050201,qiqihaer,齐齐哈尔,CN,China,中国,heilongjiang,黑龙江,qiqihaer,齐齐哈尔,47.34208,123.95792,"230201,230200",
CN101050202,nehe,讷河,CN,China,中国,heilongjiang,黑龙江,qiqihaer,齐齐哈尔,48.481133,124.88217,230281,
CN101050203,longjiang,龙江,CN,China,中国,heilongjiang,黑龙江,qiqihaer,齐齐哈尔,47.336388,123.187225,230221,
CN101050204,gannan,甘南,CN,China,中国,heilongjiang,黑龙江,qiqihaer,齐齐哈尔,47.91784,123.506035,230225,
CN101050205,fuyu,富裕,CN,China,中国,heilongjiang,黑龙江,qiqihaer,齐齐哈尔,47.797173,124.46911,230227,
CN101050206,yian,依安,CN,China,中国,heilongjiang,黑龙江,qiqihaer,齐齐哈尔,47.8901,125.30756,230223,
CN101050207,baiquan,拜泉,CN,China,中国,heilongjiang,黑龙江,qiqihaer,齐齐哈尔,47.607365,126.09191,230231,
CN101050208,keshan,克山,CN,China,中国,heilongjiang,黑龙江,qiqihaer,齐齐哈尔,48.034344,125.87435,230229,
CN101050209,kedong,克东,CN,China,中国,heilongjiang,黑龙江,qiqihaer,齐齐哈尔,48.03732,126.24909,230230,
CN101050210,tailai,泰来,CN,China,中国,heilongjiang,黑龙江,qiqihaer,齐齐哈尔,46.39233,123.41953,230224,
CN101050211,longsha,龙沙,CN,China,中国,heilongjiang,黑龙江,qiqihaer,齐齐哈尔,47.341736,123.95734,230202,
CN101050212,jianhua,建华,CN,China,中国,heilongjiang,黑龙江,qiqihaer,齐齐哈尔,47.354492,123.95589,230203,
CN101050213,tiefeng,铁锋,CN,China,中国,heilongjiang,黑龙江,qiqihaer,齐齐哈尔,47.3395,123.97356,230204,
CN101050214,angangxi,昂昂溪,CN,China,中国,heilongjiang,黑龙江,qiqihaer,齐齐哈尔,47.156868,123.81318,230205,
CN101050215,fulaerji,富拉尔基,CN,China,中国,heilongjiang,黑龙江,qiqihaer,齐齐哈尔,47.20697,123.63887,230206,
CN101050216,nianzishan,碾子山,CN,China,中国,heilongjiang,黑龙江,qiqihaer,齐齐哈尔,47.51401,122.88797,230207,
CN101050217,meilisi,梅里斯,CN,China,中国,heilongjiang,黑龙江,qiqihaer,齐齐哈尔,47.31111,123.7546,230208,
CN101050301,mudanjiang,牡丹江,CN,China,中国,heilongjiang,黑龙江,mudanjiang,牡丹江,44.582962,129.6186,"231001,231000",
CN101050302,hailin,海林,CN,China,中国,heilongjiang,黑龙江,mudanjiang,牡丹江,44.57415,129.38791,231083,
CN101050303,muling,穆棱,CN,China,中国,heilongjiang,黑龙江,mudanjiang,牡丹江,44.91967,130.52708,231085,
CN101050304,linkou,林口,CN,China,中国,heilongjiang,黑龙江,mudanjiang,牡丹江,45.286644,130.2684,231025,
CN101050305,suifenhe,绥芬河,CN,China,中国,heilongjiang,黑龙江,mudanjiang,牡丹江,44.396866,131.16486,231081,
CN101050306,ningan,宁安,CN,China,中国,heilongjiang,黑龙江,mudanjiang,牡丹江,44.346836,129.47002,231084,
CN101050307,dongning,东宁,CN,China,中国,heilongjiang,黑龙江,mudanjiang,牡丹江,44.06358,131.12529,231086,
CN101050308,dongan,东安,CN,China,中国,heilongjiang,黑龙江,mudanjiang,牡丹江,44.582397,129.62329,231002,
CN101050309,yangming,阳明,CN,China,中国,heilongjiang,黑龙江,mudanjiang,牡丹江,44.59633,129.63464,231003,
CN101050310,aimin,爱民,CN,China,中国,heilongjiang,黑龙江,mudanjiang,牡丹江,44.595444,129.60123,231004,
CN101050311,xian,西安,CN,China,中国,heilongjiang,黑龙江,mudanjiang,牡丹江,44.58103,129.61311,231005,
CN101050401,jiamusi,佳木斯,CN,China,中国,heilongjiang,黑龙江,jiamusi,佳木斯,46.809605,130.36163,"230801,230800",
CN101050402,tangyuan,汤原,CN,China,中国,heilongjiang,黑龙江,jiamusi,佳木斯,46.73005,129.90446,230828,
CN101050403,fuyuan,抚远,CN,China,中国,heilongjiang,黑龙江,jiamusi,佳木斯,48.364708,134.2945,230883,
CN101050404,huachuan,桦川,CN,China,中国,heilongjiang,黑龙江,jiamusi,佳木斯,47.02304,130.72371,230826,
CN101050405,huanan,桦南,CN,China,中国,heilongjiang,黑龙江,jiamusi,佳木斯,46.240116,130.57011,230822,
CN101050406,tongjiang,同江,CN,China,中国,heilongjiang,黑龙江,jiamusi,佳木斯,47.65113,132.51012,230881,
CN101050407,fujin,富锦,CN,China,中国,heilongjiang,黑龙江,jiamusi,佳木斯,47.250748,132.03795,230882,
CN101050408,xiangyang,向阳,CN,China,中国,heilongjiang,黑龙江,jiamusi,佳木斯,46.809647,130.36179,230803,
CN101050409,qianjin,前进,CN,China,中国,heilongjiang,黑龙江,jiamusi,佳木斯,46.812344,130.37769,230804,
CN101050410,dongfeng,东风,CN,China,中国,heilongjiang,黑龙江,jiamusi,佳木斯,46.822475,130.40329,230805,
CN101050411,jiaoqu,郊区,CN,China,中国,heilongjiang,黑龙江,jiamusi,佳木斯,46.80712,130.3516,230811,
CN101050501,suihua,绥化,CN,China,中国,heilongjiang,黑龙江,suihua,绥化,46.637394,126.99293,"231201,231200",
CN101050502,zhaodong,肇东,CN,China,中国,heilongjiang,黑龙江,suihua,绥化,46.06947,125.9914,231282,
CN101050503,anda,安达,CN,China,中国,heilongjiang,黑龙江,suihua,绥化,46.410614,125.329926,231281,
CN101050504,hailun,海伦,CN,China,中国,heilongjiang,黑龙江,suihua,绥化,47.460426,126.96938,231283,
CN101050505,mingshui,明水,CN,China,中国,heilongjiang,黑龙江,suihua,绥化,47.18353,125.90755,231225,
CN101050506,wangkui,望奎,CN,China,中国,heilongjiang,黑龙江,suihua,绥化,46.83352,126.48419,231221,
CN101050507,lanxi,兰西,CN,China,中国,heilongjiang,黑龙江,suihua,绥化,46.259037,126.289314,231222,
CN101050508,qinggang,青冈,CN,China,中国,heilongjiang,黑龙江,suihua,绥化,46.686596,126.11227,231223,
CN101050509,qingan,庆安,CN,China,中国,heilongjiang,黑龙江,suihua,绥化,46.879204,127.510025,231224,
CN101050510,suiling,绥棱,CN,China,中国,heilongjiang,黑龙江,suihua,绥化,47.247196,127.11112,231226,
CN101050511,beilin,北林,CN,China,中国,heilongjiang,黑龙江,suihua,绥化,46.63491,126.99066,231202,
CN101050601,heihe,黑河,CN,China,中国,heilongjiang,黑龙江,heihe,黑河,50.249584,127.49902,"231101,231100",
CN101050602,nenjiang,嫩江,CN,China,中国,heilongjiang,黑龙江,heihe,黑河,49.17746,125.229904,231121,
CN101050603,sunwu,孙吴,CN,China,中国,heilongjiang,黑龙江,heihe,黑河,49.423943,127.32732,231124,
CN101050604,xunke,逊克,CN,China,中国,heilongjiang,黑龙江,heihe,黑河,49.582973,128.47615,231123,
CN101050605,wudalianchi,五大连池,CN,China,中国,heilongjiang,黑龙江,heihe,黑河,48.512688,126.19769,231182,
CN101050606,beian,北安,CN,China,中国,heilongjiang,黑龙江,heihe,黑河,48.245438,126.508736,231181,
CN101050607,aihui,爱辉,CN,China,中国,heilongjiang,黑龙江,heihe,黑河,50.249027,127.49764,231102,
CN101050701,daxinganling,大兴安岭,CN,China,中国,heilongjiang,黑龙江,daxinganling,大兴安岭,52.335262,124.711525,"232700,232701",
CN101050702,tahe,塔河,CN,China,中国,heilongjiang,黑龙江,daxinganling,大兴安岭,52.335228,124.71052,232722,
CN101050703,mohe,漠河,CN,China,中国,heilongjiang,黑龙江,daxinganling,大兴安岭,52.972073,122.536255,232723,
CN101050704,huma,呼玛,CN,China,中国,heilongjiang,黑龙江,daxinganling,大兴安岭,51.726997,126.6621,232721,
CN101050705,huzhong,呼中,CN,China,中国,heilongjiang,黑龙江,daxinganling,大兴安岭,52.03336,123.5863,232721,
CN101050706,xinlin,新林,CN,China,中国,heilongjiang,黑龙江,daxinganling,大兴安岭,51.67373,124.395004,232721,
CN101050708,jiagedaqi,加格达奇,CN,China,中国,heilongjiang,黑龙江,daxinganling,大兴安岭,50.408726,124.13959,"232701,232701",
CN101050801,yichun,伊春,CN,China,中国,heilongjiang,黑龙江,yichun,伊春,47.726852,128.89928,"230701,230700,230702",
CN101050802,wuyiling,乌伊岭,CN,China,中国,heilongjiang,黑龙江,yichun,伊春,48.59112,129.43785,230714,
CN101050803,wuying,五营,CN,China,中国,heilongjiang,黑龙江,yichun,伊春,48.108204,129.24503,230710,
CN101050804,tieli,铁力,CN,China,中国,heilongjiang,黑龙江,yichun,伊春,46.98577,128.03056,230781,
